kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,bps_kode_desa_kelurahan,bps_desa_kelurahan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,kemendagri_kode_desa_kelurahan,kemendagri_desa_kelurahan
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501010,DONOROJO,3501010001,WIDORO,35.01.01,DONOROJO,35.01.01.2001,WIDORO
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501010,DONOROJO,3501010002,SAWAHAN,35.01.01,DONOROJO,35.01.01.2002,SAWAHAN
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501010,DONOROJO,3501010003,KALAK,35.01.01,DONOROJO,35.01.01.2003,KALAK
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501010,DONOROJO,3501010004,SENDANG,35.01.01,DONOROJO,35.01.01.2004,SENDANG
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501010,DONOROJO,3501010005,KLEPU,35.01.01,DONOROJO,35.01.01.2005,KLEPU
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501010,DONOROJO,3501010006,GEDOMPOL,35.01.01,DONOROJO,35.01.01.2006,GEDOMPOL
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501010,DONOROJO,3501010007,CEMENG,35.01.01,DONOROJO,35.01.01.2007,CEMENG
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501010,DONOROJO,3501010008,GENDARAN,35.01.01,DONOROJO,35.01.01.2008,GENDARAN
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501010,DONOROJO,3501010009,SUKODONO,35.01.01,DONOROJO,35.01.01.2009,SUKODONO
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501010,DONOROJO,3501010010,SEKAR,35.01.01,DONOROJO,35.01.01.2010,SEKAR
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501010,DONOROJO,3501010011,DONOROJO,35.01.01,DONOROJO,35.01.01.2011,DONOROJO
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501010,DONOROJO,3501010012,BELAH,35.01.01,DONOROJO,35.01.01.2012,BELAH
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501030,PRINGKUKU,3501030001,WATU KARUNG,35.01.02,PRINGKUKU,35.01.02.2003,WATUKARUNG
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501030,PRINGKUKU,3501030002,DERSONO,35.01.02,PRINGKUKU,35.01.02.2001,DERSONO
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501030,PRINGKUKU,3501030003,SUGIHWARAS,35.01.02,PRINGKUKU,35.01.02.2002,SUGIHWARAS
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501030,PRINGKUKU,3501030004,JLUBANG,35.01.02,PRINGKUKU,35.01.02.2004,JLUBANG
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501030,PRINGKUKU,3501030005,CANDI,35.01.02,PRINGKUKU,35.01.02.2005,CANDI
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501030,PRINGKUKU,3501030006,POKO,35.01.02,PRINGKUKU,35.01.02.2006,POKO
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501030,PRINGKUKU,3501030007,DADAPAN,35.01.02,PRINGKUKU,35.01.02.2007,DADAPAN
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501030,PRINGKUKU,3501030008,PRINGKUKU,35.01.02,PRINGKUKU,35.01.02.2008,PRINGKUKU
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501030,PRINGKUKU,3501030009,SOBO,35.01.02,PRINGKUKU,35.01.02.2009,SOBO
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501030,PRINGKUKU,3501030010,NGADIREJAN,35.01.02,PRINGKUKU,35.01.02.2010,NGADIREJAN
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501030,PRINGKUKU,3501030011,GLINGGANGAN,35.01.02,PRINGKUKU,35.01.02.2011,GLINGGANGAN
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501030,PRINGKUKU,3501030012,PELEM,35.01.02,PRINGKUKU,35.01.02.2012,PELEM
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501030,PRINGKUKU,3501030013,TAMANASRI,35.01.02,PRINGKUKU,35.01.02.2013,TAMANASRI
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501020,PUNUNG,3501020001,BOMO,35.01.03,PUNUNG,35.01.03.2001,BOMO
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501020,PUNUNG,3501020002,SOOKA,35.01.03,PUNUNG,35.01.03.2002,SOOKA
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501020,PUNUNG,3501020003,PUNUNG,35.01.03,PUNUNG,35.01.03.2003,PUNUNG
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501020,PUNUNG,3501020004,MENDOLO KIDUL,35.01.03,PUNUNG,35.01.03.2004,MENDOLO KIDUL
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501020,PUNUNG,3501020005,MENDOLO LOR,35.01.03,PUNUNG,35.01.03.2009,MENDOLO LOR
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501020,PUNUNG,3501020006,KENDAL,35.01.03,PUNUNG,35.01.03.2006,KENDAL
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501020,PUNUNG,3501020007,PITON,35.01.03,PUNUNG,35.01.03.2005,PITON
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501020,PUNUNG,3501020008,WARENG,35.01.03,PUNUNG,35.01.03.2007,WARENG
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501020,PUNUNG,3501020009,MANTREN,35.01.03,PUNUNG,35.01.03.2008,MANTREN
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501020,PUNUNG,3501020010,PLOSO,35.01.03,PUNUNG,35.01.03.2010,PLOSO
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501020,PUNUNG,3501020011,GONDOSARI,35.01.03,PUNUNG,35.01.03.2011,GONDOSARI
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501020,PUNUNG,3501020012,TINATAR,35.01.03,PUNUNG,35.01.03.2013,TINATAR
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501020,PUNUNG,3501020013,KEBONSARI,35.01.03,PUNUNG,35.01.03.2012,KEBONSARI
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501040,PACITAN,3501040001,SIDOHARJO,35.01.04,PACITAN,35.01.04.1001,SIDOHARJO
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501040,PACITAN,3501040002,PLOSO,35.01.04,PACITAN,35.01.04.1002,PLOSO
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501040,PACITAN,3501040003,KEMBANG,35.01.04,PACITAN,35.01.04.2003,KEMBANG
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501040,PACITAN,3501040004,SUKOHARJO,35.01.04,PACITAN,35.01.04.2004,SUKOHARJO
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501040,PACITAN,3501040005,KAYEN,35.01.04,PACITAN,35.01.04.2005,KAYEN
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501040,PACITAN,3501040006,SIRNOBOYO,35.01.04,PACITAN,35.01.04.2006,SIRNOBOYO
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501040,PACITAN,3501040007,ARJOWINANGUN,35.01.04,PACITAN,35.01.04.2007,ARJOWINANGUN
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501040,PACITAN,3501040008,BALEHARJO,35.01.04,PACITAN,35.01.04.1008,BALEHARJO
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501040,PACITAN,3501040009,BANGUNSARI,35.01.04,PACITAN,35.01.04.2009,BANGUNSARI
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501040,PACITAN,3501040010,SEDENG,35.01.04,PACITAN,35.01.04.2010,SEDENG
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501040,PACITAN,3501040011,SUMBERHARJO,35.01.04,PACITAN,35.01.04.2011,SUMBERHARJO
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501040,PACITAN,3501040012,PUCANGSEWU,35.01.04,PACITAN,35.01.04.1012,PUCANGSEWU
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501040,PACITAN,3501040013,PACITAN,35.01.04,PACITAN,35.01.04.1013,PACITAN
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501040,PACITAN,3501040014,TANJUNGSARI,35.01.04,PACITAN,35.01.04.2014,TANJUNGSARI
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501040,PACITAN,3501040015,MENADI,35.01.04,PACITAN,35.01.04.2015,MENADI
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501040,PACITAN,3501040016,MENTORO,35.01.04,PACITAN,35.01.04.2016,MENTORO
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501040,PACITAN,3501040017,PURWOREJO,35.01.04,PACITAN,35.01.04.2017,PURWOREJO
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501040,PACITAN,3501040018,NANGGUNGAN,35.01.04,PACITAN,35.01.04.2018,NANGGUNGAN
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501040,PACITAN,3501040019,WIDORO,35.01.04,PACITAN,35.01.04.2019,WIDORO
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501040,PACITAN,3501040020,SEMANTEN,35.01.04,PACITAN,35.01.04.2020,SEMANTEN
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501040,PACITAN,3501040021,BANJARSARI,35.01.04,PACITAN,35.01.04.2022,BANJARSARI
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501040,PACITAN,3501040022,BOLOSINGO,35.01.04,PACITAN,35.01.04.2023,BOLOSINGO
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501040,PACITAN,3501040023,SAMBONG,35.01.04,PACITAN,35.01.04.2021,SAMBONG
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501040,PACITAN,3501040024,PONGGOK,35.01.04,PACITAN,35.01.04.2024,PONGGOK
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501040,PACITAN,3501040025,TAMBAKREJO,35.01.04,PACITAN,35.01.04.2025,TAMBAKREJO
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501050,KEBONAGUNG,3501050001,PLUMBUNGAN,35.01.05,KEBONAGUNG,35.01.05.2001,PLUMBUNGAN
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501050,KEBONAGUNG,3501050002,KARANGNONGKO,35.01.05,KEBONAGUNG,35.01.05.2002,KARANGNONGKO
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501050,KEBONAGUNG,3501050003,KALIPELUS,35.01.05,KEBONAGUNG,35.01.05.2003,KALIPELUS
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501050,KEBONAGUNG,3501050004,KATIPUGAL,35.01.05,KEBONAGUNG,35.01.05.2005,KATIPUGAL
35,JAWA TIMUR,3501,KABUPATEN PACITAN,3501050,KEBONAGUNG,3501050005,KLESEM,35.01.05,KEBONAGUNG,35.01.05.2006,KLESEM
